"BiocVersion","Description","Genome","SourceUrl","SourceType","SourceVersion","Species","TaxonomyId","Title","ResourceName","RDataPath","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Location_Prefix","Tags"
"3.15","UCSC RepeatMasker annotations (May2021) for Dog -Canis lupus familiaris- (canFam6)","canFam6","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/canFam6/rmsk.canFam6.May2021.rds","UCSC track","May2021","Canis lupus familiaris",9615,"UCSC RepeatMasker annotations (May2021) for Dog (canFam6)","UCSC RepeatMasker annotations (May2021) for Dog (canFam6)","canFam6/rmsk.canFam6.May2021.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jun2008) for Guinea pig -Cavia porcellus- (cavPor3)","cavPor3","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/cavPor3/rmsk.cavPor3.Jun2008.rds","UCSC track","Jun2008","Cavia porcellus",10141,"UCSC RepeatMasker annotations (Jun2008) for Guinea pig (cavPor3)","UCSC RepeatMasker annotations (Jun2008) for Guinea pig (cavPor3)","cavPor3/rmsk.cavPor3.Jun2008.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Mar2016) for C. elegans -Caenorhabditis elegans- (ce11)","ce11","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/ce11/rmsk.ce11.Mar2016.rds","UCSC track","Mar2016","Caenorhabditis elegans",6239,"UCSC RepeatMasker annotations (Mar2016) for C. elegans (ce11)","UCSC RepeatMasker annotations (Mar2016) for C. elegans (ce11)","ce11/rmsk.ce11.Mar2016.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jan2013) for White rhinoceros -Ceratotherium simum- (cerSim1)","cerSim1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/cerSim1/rmsk.cerSim1.Jan2013.rds","UCSC track","Jan2013","Ceratotherium simum",NA,"UCSC RepeatMasker annotations (Jan2013) for White rhinoceros (cerSim1)","UCSC RepeatMasker annotations (Jan2013) for White rhinoceros (cerSim1)","cerSim1/rmsk.cerSim1.Jan2013.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Oct2016) for Green monkey -Chlorocebus sabaeus- (chlSab2)","chlSab2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/chlSab2/rmsk.chlSab2.Oct2016.rds","UCSC track","Oct2016","Chlorocebus sabaeus",60711,"UCSC RepeatMasker annotations (Oct2016) for Green monkey (chlSab2)","UCSC RepeatMasker annotations (Oct2016) for Green monkey (chlSab2)","chlSab2/rmsk.chlSab2.Oct2016.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2012) for Sloth -Choloepus hoffmanni- (choHof1)","choHof1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/choHof1/rmsk.choHof1.Nov2012.rds","UCSC track","Nov2012","Choloepus hoffmanni",9358,"UCSC RepeatMasker annotations (Nov2012) for Sloth (choHof1)","UCSC RepeatMasker annotations (Nov2012) for Sloth (choHof1)","choHof1/rmsk.choHof1.Nov2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jun2012) for Painted turtle -Chrysemys picta bellii- (chrPic1)","chrPic1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/chrPic1/rmsk.chrPic1.Jun2012.rds","UCSC track","Jun2012","Chrysemys picta bellii",8478,"UCSC RepeatMasker annotations (Jun2012) for Painted turtle (chrPic1)","UCSC RepeatMasker annotations (Jun2012) for Painted turtle (chrPic1)","chrPic1/rmsk.chrPic1.Jun2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jul2017) for C. intestinalis -Ciona intestinalis- (ci3)","ci3","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/ci3/rmsk.ci3.Jul2017.rds","UCSC track","Jul2017","Ciona intestinalis",7719,"UCSC RepeatMasker annotations (Jul2017) for C. intestinalis (ci3)","UCSC RepeatMasker annotations (Jul2017) for C. intestinalis (ci3)","ci3/rmsk.ci3.Jul2017.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jun2019) for Chinese hamster -Cricetulus griseus- (criGriChoV2)","criGriChoV2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/criGriChoV2/rmsk.criGriChoV2.Jun2019.rds","UCSC track","Jun2019","Cricetulus griseus",10029,"UCSC RepeatMasker annotations (Jun2019) for Chinese hamster (criGriChoV2)","UCSC RepeatMasker annotations (Jun2019) for Chinese hamster (criGriChoV2)","criGriChoV2/rmsk.criGriChoV2.Jun2019.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2017) for Zebrafish -Danio rerio- (danRer11)","danRer11","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/danRer11/rmsk.danRer11.Nov2017.rds","UCSC track","Nov2017","Danio rerio",7955,"UCSC RepeatMasker annotations (Nov2017) for Zebrafish (danRer11)","UCSC RepeatMasker annotations (Nov2017) for Zebrafish (danRer11)","danRer11/rmsk.danRer11.Nov2017.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2012) for Armadillo -Dasypus novemcinctus- (dasNov3)","dasNov3","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/dasNov3/rmsk.dasNov3.Nov2012.rds","UCSC track","Nov2012","Dasypus novemcinctus",9361,"UCSC RepeatMasker annotations (Nov2012) for Armadillo (dasNov3)","UCSC RepeatMasker annotations (Nov2012) for Armadillo (dasNov3)","dasNov3/rmsk.dasNov3.Nov2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2012) for Kangaroo rat -Dipodomys ordii- (dipOrd1)","dipOrd1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/dipOrd1/rmsk.dipOrd1.Nov2012.rds","UCSC track","Nov2012","Dipodomys ordii",10020,"UCSC RepeatMasker annotations (Nov2012) for Kangaroo rat (dipOrd1)","UCSC RepeatMasker annotations (Nov2012) for Kangaroo rat (dipOrd1)","dipOrd1/rmsk.dipOrd1.Nov2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Dec2014) for D. melanogaster -Drosophila melanogaster- (dm6)","dm6","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/dm6/rmsk.dm6.Dec2014.rds","UCSC track","Dec2014","Drosophila melanogaster",7227,"UCSC RepeatMasker annotations (Dec2014) for D. melanogaster (dm6)","UCSC RepeatMasker annotations (Dec2014) for D. melanogaster (dm6)","dm6/rmsk.dm6.Dec2014.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Oct2005) for D. ananassae -Drosophila ananassae- (droAna2)","droAna2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droAna2/rmsk.droAna2.Oct2005.rds","UCSC track","Oct2005","Drosophila ananassae",7217,"UCSC RepeatMasker annotations (Oct2005) for D. ananassae (droAna2)","UCSC RepeatMasker annotations (Oct2005) for D. ananassae (droAna2)","droAna2/rmsk.droAna2.Oct2005.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Sep2005) for D. erecta -Drosophila erecta- (droEre1)","droEre1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droEre1/rmsk.droEre1.Sep2005.rds","UCSC track","Sep2005","Drosophila erecta",7220,"UCSC RepeatMasker annotations (Sep2005) for D. erecta (droEre1)","UCSC RepeatMasker annotations (Sep2005) for D. erecta (droEre1)","droEre1/rmsk.droEre1.Sep2005.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Oct2005) for D. grimshawi -Drosophila grimshawi- (droGri1)","droGri1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droGri1/rmsk.droGri1.Oct2005.rds","UCSC track","Oct2005","Drosophila grimshawi",7222,"UCSC RepeatMasker annotations (Oct2005) for D. grimshawi (droGri1)","UCSC RepeatMasker annotations (Oct2005) for D. grimshawi (droGri1)","droGri1/rmsk.droGri1.Oct2005.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Sep2005) for D. mojavensis -Drosophila mojavensis- (droMoj2)","droMoj2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droMoj2/rmsk.droMoj2.Sep2005.rds","UCSC track","Sep2005","Drosophila mojavensis",7230,"UCSC RepeatMasker annotations (Sep2005) for D. mojavensis (droMoj2)","UCSC RepeatMasker annotations (Sep2005) for D. mojavensis (droMoj2)","droMoj2/rmsk.droMoj2.Sep2005.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jan2006) for D. persimilis -Drosophila persimilis- (droPer1)","droPer1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droPer1/rmsk.droPer1.Jan2006.rds","UCSC track","Jan2006","Drosophila persimilis",7234,"UCSC RepeatMasker annotations (Jan2006) for D. persimilis (droPer1)","UCSC RepeatMasker annotations (Jan2006) for D. persimilis (droPer1)","droPer1/rmsk.droPer1.Jan2006.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jan2006) for D. sechellia -Drosophila sechellia- (droSec1)","droSec1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droSec1/rmsk.droSec1.Jan2006.rds","UCSC track","Jan2006","Drosophila sechellia",7238,"UCSC RepeatMasker annotations (Jan2006) for D. sechellia (droSec1)","UCSC RepeatMasker annotations (Jan2006) for D. sechellia (droSec1)","droSec1/rmsk.droSec1.Jan2006.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Sep2005) for D. virilis -Drosophila virilis- (droVir2)","droVir2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/droVir2/rmsk.droVir2.Sep2005.rds","UCSC track","Sep2005","Drosophila virilis",7244,"UCSC RepeatMasker annotations (Sep2005) for D. virilis (droVir2)","UCSC RepeatMasker annotations (Sep2005) for D. virilis (droVir2)","droVir2/rmsk.droVir2.Sep2005.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Aug2013) for Tenrec -Echinops telfairi- (echTel2)","echTel2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/echTel2/rmsk.echTel2.Aug2013.rds","UCSC track","Aug2013","Echinops telfairi",9371,"UCSC RepeatMasker annotations (Aug2013) for Tenrec (echTel2)","UCSC RepeatMasker annotations (Aug2013) for Tenrec (echTel2)","echTel2/rmsk.echTel2.Aug2013.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Jul2019) for Horse -Equus caballus- (equCab3)","equCab3","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/equCab3/rmsk.equCab3.Jul2019.rds","UCSC track","Jul2019","Equus caballus",9796,"UCSC RepeatMasker annotations (Jul2019) for Horse (equCab3)","UCSC RepeatMasker annotations (Jul2019) for Horse (equCab3)","equCab3/rmsk.equCab3.Jul2019.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (May2014) for Hedgehog -Erinaceus europaeus- (eriEur2)","eriEur2","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/eriEur2/rmsk.eriEur2.May2014.rds","UCSC track","May2014","Erinaceus europaeus",9365,"UCSC RepeatMasker annotations (May2014) for Hedgehog (eriEur2)","UCSC RepeatMasker annotations (May2014) for Hedgehog (eriEur2)","eriEur2/rmsk.eriEur2.May2014.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (May2019) for Cat -Felis catus- (felCat9)","felCat9","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/felCat9/rmsk.felCat9.May2019.rds","UCSC track","May2019","Felis catus",9685,"UCSC RepeatMasker annotations (May2019) for Cat (felCat9)","UCSC RepeatMasker annotations (May2019) for Cat (felCat9)","felCat9/rmsk.felCat9.May2019.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (May2012) for Fugu -Takifugu rubripes- (fr3)","fr3","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/fr3/rmsk.fr3.May2012.rds","UCSC track","May2012","Takifugu rubripes",31033,"UCSC RepeatMasker annotations (May2012) for Fugu (fr3)","UCSC RepeatMasker annotations (May2012) for Fugu (fr3)","fr3/rmsk.fr3.May2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2012) for Atlantic cod -Gadus morhua- (gadMor1)","gadMor1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/gadMor1/rmsk.gadMor1.Nov2012.rds","UCSC track","Nov2012","Gadus morhua",8049,"UCSC RepeatMasker annotations (Nov2012) for Atlantic cod (gadMor1)","UCSC RepeatMasker annotations (Nov2012) for Atlantic cod (gadMor1)","gadMor1/rmsk.gadMor1.Nov2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2018) for Chicken -Gallus gallus- (galGal6)","galGal6","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/galGal6/rmsk.galGal6.Nov2018.rds","UCSC track","Nov2018","Gallus gallus",9031,"UCSC RepeatMasker annotations (Nov2018) for Chicken (galGal6)","UCSC RepeatMasker annotations (Nov2018) for Chicken (galGal6)","galGal6/rmsk.galGal6.Nov2018.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Aug2016) for Malayan flying lemur -Galeopterus variegatus- (galVar1)","galVar1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/galVar1/rmsk.galVar1.Aug2016.rds","UCSC track","Aug2016","Galeopterus variegatus",482537,"UCSC RepeatMasker annotations (Aug2016) for Malayan flying lemur (galVar1)","UCSC RepeatMasker annotations (Aug2016) for Malayan flying lemur (galVar1)","galVar1/rmsk.galVar1.Aug2016.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Aug2012) for Medium ground finch -Geospiza fortis- (geoFor1)","geoFor1","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/geoFor1/rmsk.geoFor1.Aug2012.rds","UCSC track","Aug2012","Geospiza fortis",48883,"UCSC RepeatMasker annotations (Aug2012) for Medium ground finch (geoFor1)","UCSC RepeatMasker annotations (Aug2012) for Medium ground finch (geoFor1)","geoFor1/rmsk.geoFor1.Aug2012.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
"3.15","UCSC RepeatMasker annotations (Nov2019) for Gorilla -Gorilla gorilla gorilla- (gorGor6)","gorGor6","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/gorGor6/rmsk.gorGor6.Nov2019.rds","UCSC track","Nov2019","Gorilla gorilla gorilla",9595,"UCSC RepeatMasker annotations (Nov2019) for Gorilla (gorGor6)","UCSC RepeatMasker annotations (Nov2019) for Gorilla (gorGor6)","gorGor6/rmsk.gorGor6.Nov2019.rds",TRUE,"UCSC","Robert Castelo <robert.castelo@upf.edu>","GRanges","RDS","https://functionalgenomics.upf.edu/annotationhub/repeatmasker/","RepeatMasker,UCSC"
